patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1146	13823	9820	10004	13753	13999	20291	1410	1019	1166	1725	1538	1298	1833	1884	1053
fig|536231.75.peg.1147	3894	2630	3091	5668	4768	7837	548	354	447	916	715	706	774	710	586
fig|536231.75.peg.1148	10448	4112	5246	4533	4735	5971	283	213	246	634	684	465	385	466	544
fig|536231.75.peg.1149	1531	625	1031	456	561	963	19	9	9	51	30	18	145	21	36
fig|536231.75.peg.1150	3017	657	1307	991	1220	1581	34	20	28	45	52	65	58	84	0
fig|536231.75.peg.1151	3363	831	1425	1051	1133	1583	48	38	47	78	84	153	90	31	54
fig|536231.75.peg.1152	4502	870	1742	2308	2380	2914.057	68	50	92	45	80	107	101	170	55
fig|536231.75.peg.1153	4228	1229	1973	3349	2643	3523	139	118	106	127	127	61	131	120	74
fig|536231.75.peg.1154	1449	763	893	2280	1961	2768	100	75	105	181	47	66	277	266	152
fig|536231.75.peg.1155	1409	639	729	1725	1545	2461	89	41	57	55	98	47	76	62	29
fig|536231.75.peg.1156	9463.16	6524.02	8826.573	8448	8054	13777	1390	948	1094	1053	858	841	2036	1578	828
fig|536231.75.peg.1157	1840	1638	1634	1512	1139	1844	90	73	89	267	139	205	1101	291	220
fig|536231.75.peg.1158	2465	1463	1790	2074	2427	4172	205	142	181	63	129	113	66	108	83
fig|536231.75.peg.1159	2276	2682	2136	973	1196	2522	244	140	124	152	135	133	300	112	63
fig|536231.75.peg.1160	2069	2091	1395	2233	1741	3070	210	161	194	248	276	113	214	296	265
fig|536231.75.peg.1161	1076	1325	971	1554	1783	2555	124	119	125	153	160	91	134	109	174
fig|536231.75.peg.1162	115295.643	45942.904	91206.821	136854	118420	177386.281	15898	13947	16167	43440	25063	25403	65170	23090	30037
fig|536231.75.peg.1163	1330	808.002	1183	2528	2532	4580	102	92	84	130	112	104	141	43	92
fig|536231.75.peg.1164	1237	662	1082	2220	2263	4370	156	122	136	156	149	73	71	71	71
fig|536231.75.peg.1165	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
fig|536231.75.peg.1166	77	43	34	46	32	98	13	20	17	31	29	12	77	54	21
fig|536231.75.peg.1167	2834	3388	1355	3287	2836	3432	424	344	380	428	511	282	573	464	576
fig|536231.75.peg.1168	9062	5403	6532	6751	4538	7213.107	1120	890	993	1551	807	893	2442	1032	1205
fig|536231.75.peg.1169	1758	1111	1297	547	655	971	82	59	61	92	42	78	256	130	82
fig|536231.75.peg.1170	1940	1057	1261	768	783	1281	89	38	92	116	133	102	274	139	116
fig|536231.75.peg.1171	4395	2969	2859	2358	2710	3927	305	186	258	474	349	252	2176	528	605
fig|536231.75.peg.1172	677	455	391	495	483	729	54	31	32	95	139	126	401	95	107
fig|536231.75.peg.1173	2577	1868	1508	3063	2508	3629	298	182	318	836	539	418	1689	567	806
fig|536231.75.peg.1174	1565	1086	1082	1422	1423	2024	137	119	161	540	220	288	541	196	341
fig|536231.75.peg.1175	3235	2489	2163	2938	3143	4175	423	337	351	516	449	403	753	492	476
fig|536231.75.peg.1176	14024	13474.108	9710	28728	23245	34524.789	2371	2063	2093	4028	2689	2276	3770	2769	3407
fig|536231.75.peg.1177	20493.536	10077	13496	22209.101	19901	35244	5682	4092	3846	4514	4016	3440	1526	2801	2619
fig|536231.75.peg.1178	2033	1785	1232	2491	2902	4195	251	206	249	217	182	161	343	186	208
fig|536231.75.peg.1179	217	193	149	32	53	142	15	6	7	24	32	11	60	0	7
fig|536231.75.peg.1180	1060.006	1097	890	659	715	1242	74	45	83	246	77	47	584	71	91
fig|536231.75.peg.1181	1059	1821	663	237	290	471	50	34	20	97	56	16	170	42	55
fig|536231.75.peg.1182	3348	3844	1982	3121	2671	4389	351	243	291	603	486	314	744	339	341
fig|536231.75.peg.1183	804	1069	466	130	192	523	39	7	44	14	6	48	111	122	49
fig|536231.75.peg.1184	283	247	149	61	115	238	32	13	20	15	51	39	16	0	12
fig|536231.75.peg.1185	1701	1530	1020	872	1310	1550	116	162	140	302	373	273	137	88	109
fig|536231.75.peg.1186	3583	3144	2300	3491	3283	5341	275	188	230	544	310	338	798	681	383
fig|536231.75.peg.1187	25	17	16	18	0	28	4	0	0	15	18	0	6	33	4
fig|536231.75.peg.1188	363	673	92	265	153	219	53	24	30	44	9	11	17	47	0
fig|536231.75.peg.1189	241	474	143	87	29	135	15	6	6	21	7	0	21	12	0
